#kW,Volts,Frequency,Phase,Parameter Group,Voltage Code,Emission,Unit Voltage Code,Engine
22,240,60,1,3,17,N,A,2.4 L
22,208,60,3,3,2057,N,G,2.4 L
22,240,60,3,3,4112,N,J,2.4 L
22,220,50,1,10,12299,N,M,2.4 L
25,240,60,1,1,16,N,A,1.6 L
25,208,60,3,1,2064,N,G,1.6 L
25,240,60,1,15,16,N,A,1.5 L
25,208,60,3,15,2064,N,G,1.5 L
25,240,60,3,15,4107,N,J,1.5 L
25,240,60,3,1,4107,N,J,1.6 L
27,240,60,1,3,11,N,A,2.4 L
27,208,60,3,3,2064,N,G,2.4 L
27,240,60,3,3,4112,N,J,2.4 L
27,400,50,3,10,10247,N,R,2.4 L
30,240,60,1,15,16,N,A,1.5 L
30,208,60,3,15,2064,N,G,1.5 L
30,240,60,3,15,4113,N,J,1.5 L
30,240,60,1,1,11,N,A,1.6 L
30,208,60,3,1,2059,N,G,1.6 L
30,240,60,3,1,4112,N,J,1.6 L
36,240,60,1,6,16,N,A,2.4 L
36,208,60,3,6,2064,N,G,2.4 L
36,240,60,3,6,4112,N,J,2.4 L
36,480,60,3,6,6160,N,K,2.4 L
35,240,60,1,6,16,N,A,2.4 L
35,208,60,3,6,2064,N,G,2.4 L
35,240,60,3,6,4112,N,J,2.4 L
35,480,60,3,6,6160,N,K,2.4 L
48,240,60,1,2,32784,Y,A,4.2 L
48,240,60,1,2,16,N,A,4.2 L
48,208,60,3,2,2064,N,G,4.2 L
48,208,60,3,2,34832,Y,G,4.2 L
48,240,60,3,2,4112,N,J,4.2 L
48,240,60,3,2,36875,Y,J,4.2 L
48,480,60,3,2,6156,N,K,4.2 L
48,480,60,3,2,38923,Y,K,4.2 L
48,240,60,1,19,16,N,A,5.4 L
48,240,60,1,19,32784,Y,A,5.4 L
48,208,60,1,19,2071,N,G,5.4 L
48,240,60,1,19,4113,N,J,5.4 L
48,480,60,3,19,6144,N,K,5.4 L
48,208,60,3,19,34832,Y,G,5.4 L
48,240,60,3,19,36875,Y,J,5.4 L
48,480,60,3,19,38923,Y,K,5.4 L
45,240,60,1,7,32779,Y,A,2.4 L
45,240,60,1,7,11,N,A,2.4 L
45,240,60,1,7,32779,Y,A,2.4 L
45,208,60,3,7,34833,Y,G,2.4 L
45,208,60,3,7,2064,N,G,2.4 L
45,240,60,3,7,36880,Y,J,2.4 L
45,240,60,3,7,4112,N,J,2.4 L
45,480,60,3,7,38928,Y,K,2.4 L
45,480,60,3,7,6155,N,K,2.4 L
45,240,60,1,2,16,Y,A,4.2 L
45,208,60,3,2,2064,N,G,4.2 L
45,480,60,3,2,2064,N,K,4.2 L
45,240,60,1,19,16,N,A,5.4 L
45,240,60,1,19,32784,Y,A,5.4 L
45,208,60,1,19,2071,Y,G,5.4 L
45,240,60,1,19,4113,N,J,5.4 L
45,480,60,3,19,6144,N,K,5.4 L
60,240,60,1,8,16,N,A,2.4 L
60,208,60,3,8,2064,N,G,2.4 L
60,240,60,3,8,4112,N,J,2.4 L
60,480,60,3,8,6156,N,K,2.4 L
70,240,60,1,13,21,N,A,6.8 L
70,240,60,1,13,32789,Y,A,6.8 L
70,208,60,3,13,2071,N,G,6.8 L
70,208,60,3,13,34839,Y,G,6.8 L
70,240,60,3,13,36875,Y,J,6.8 L
70,240,60,3,13,4105,N,J,6.8 L
70,480,60,3,13,38913,Y,K,6.8 L
70,480,60,3,13,6145,N,K,6.8 L
80,240,60,1,14,17,N,A,4.6 L
80,208,60,3,14,2053,N,G,4.6 L
80,240,60,3,14,4101,N,J,4.6 L
80,480,60,3,14,6146,N,K,4.6 L
80,240,60,1,20,0,N,A,5.4 L
80,208,60,3,20,2048,N,G,5.4 L
80,240,60,3,20,4096,N,J,5.4 L
80,480,60,3,20,6145,N,K,5.4 L
100,240,60,1,12,32785,Y,A,6.8 L
100,208,60,3,12,34816,Y,G,6.8 L
100,240,60,3,12,36864,Y,J,6.8 L
100,240,480,3,12,38919,Y,K,6.8 L
130,240,60,1,11,32785,Y,A,6.8 L
130,208,60,3,11,34827,Y,G,6.8 L
130,240,60,3,11,36875,Y,J,6.8 L
130,480,60,3,11,38934,Y,K,6.8 L
150,240,60,1,9,32785,Y,A,6.8 L
150,208,60,3,9,34833,Y,G,6.8 L
150,240,60,3,9,36880,Y,J,6.8 L
150,480,60,3,9,38932,Y,K,6.8 L
